world-universities copy,Name,web_pages,url_status_codes,all_urls_valid
CN,Yunnan Normal University,https://www.ynnu.edu.cn/,[200],TRUE
CN,Yunnan University,https://www.ynu.edu.cn/,[200],TRUE
CN,Zhanjiang Ocean University,https://www.zjou.edu.cn/,[200],TRUE
CN,Zhejiang Forestry University,https://www.zjfc.edu.cn/,['ERROR: SSLError'],FALSE
CN,Zhejiang Gongshang University,https://www.zjgsu.edu.cn/,['ERROR: ConnectionError'],FALSE
CN,Zhejiang Normal University,https://www.zjnu.edu.cn/,[200],TRUE
CN,Zhejiang Sci-Tech University ,https://www.zstu.edu.cn/,[200],TRUE
CN,Zhejiang University,https://www.zju.edu.cn/,[200],TRUE
CN,Zhejiang University of Technology,https://www.zjut.edu.cn/,[200],TRUE
CN,Zhengda Software College,https://www.zdsoft.com.cn/,['ERROR: SSLError'],FALSE
CN,Zhengzhou Grain University,https://www.zzgc.edu.cn/,['ERROR: ConnectionError'],FALSE
CN,Zhengzhou University of Technology,https://www.zzut.edu.cn/,[200],TRUE
CN,Zhongnan University of Economics and Law,https://www.znuel.net/,['ERROR: ConnectTimeout'],FALSE
CN,Zhongnan University of Finance and Economics,https://www.znufe.edu.cn/,['ERROR: ConnectionError'],FALSE
CN,Zhongnan University of Technology,https://www.zhnut.edu.cn/,['ERROR: ConnectionError'],FALSE
CN,Zhongshan University,https://www.zsu.edu.cn/,['ERROR: ConnectionError'],FALSE
CN,Sun Yat-Sen University,https://sysu.edu.cn,[200],TRUE
CN,Hunan University,"https://www.hnu.edu.cn', 'https://www-en.hnu.edu.cn","[200, 200]",TRUE
CN,Beijing Jiaotong University,https://www.bjtu.edu.cn,[200],TRUE
CN,Central Academy of Fine Art,https://www.cafa.edu.cn/,[200],TRUE
CN,Chongqing University of Science and Technology,https://www.cqust.cn/,[200],TRUE
CN,Guangdong Peizheng College,https://www.peizheng.com.cn/,['ERROR: ConnectTimeout'],FALSE
CN,Shandong University of Finance and Economics,https://www.sdufe.edu.cn/,[200],TRUE
CN,Shanghai Customs College,https://shcc.edu.cn/,['ERROR: ConnectionError'],FALSE
CN,Shanghai Fisheries University,https://www.shfu.edu.cn/,['ERROR: ConnectionError'],FALSE
CN,ShanghaiTech University,https://www.shanghaitech.edu.cn/,[200],TRUE
CN,Shihezi University,https://www.shzu.edu.cn/,[200],TRUE
CN,South University of Science and Technology of China,https://www.sustc.edu.cn/,['ERROR: ConnectionError'],FALSE
CN,University of Science and Technology Beijing,https://www.ustb.edu.cn/,[200],TRUE
CN,University of Science and Technology of China,"https://www.ustc.edu.cn/', 'https://www.ustc.edu/","[200, 200]",TRUE
CN,Wudanshan Taoist College,https://www.wdsdjxy.com/,[200],TRUE
CN,Xi'an Eurasia University,https://en.eurasia.edu/,['ERROR: SSLError'],FALSE
CN,Zhejiang Sci-Tech University,https://www.zstu.edu.cn/,[200],TRUE
CN,Changchun University of Science and Technology,"https://www.cust.edu.cn', 'https://ieec.cust.edu.cn/","[200, 403]",FALSE
CN,Guangzhou College of South China University of Technology,https://www.gcu.edu.cn/,[200],TRUE
CN,Nanjing University of Information Science and Technology,https://www.nuist.edu.cn/,[200],TRUE
CN,Luoyang Normal University,https://www.lynu.edu.cn/,[200],TRUE
CN,Hubei Business College,https://www.hbc.edu.cn,[200],TRUE
CN,Dalian Neusoft University of Information,"https://dnui.edu.cn', 'https://www.neusoft.edu.cn","['ERROR: ConnectionError', 200]",FALSE
CN,Shenyang Agricultural University,https://en.syau.edu.cn/,[200],TRUE
CN,Shanghai Jiao Tong University,https://en.sjtu.edu.cn/,[200],TRUE
